agency_id,account_sender_name,country_sender,account_receiver_name,country_receiver,amount,payment_type,datetime_timestamp
7546,Monoprix,US,Exxon Mobil,US,4286452,cheque,290000
5361,Activision Blizard,GER,General Motos,UK,8913982,card,291000
5400,CapGemini,UK,ConocoPhillips,SPA,8022734,transfer,292000
1260,Chevron,SWI,Carrefour,SPA,1903177,card,293000
3396,McKesson,SP,Tesla,UK,580461,transfer,294000
3226,General Motos,CHI,Monoprix,SWI,6242206,transfer,295000
9149,Valeo,US,Valeo,ITA,3872266,cheque,296000
5566,CapGemini,GER,Chevron,SWI,2616530,transfer,297000
2824,Valeo,CHI,Nissan,FR,1706056,cheque,298000
999,General Motos,US,Activision Blizard,ITA,1042994,card,299000
3366,Tesla,ITA,General Motos,SWI,5237154,cheque,300000
6773,ConocoPhillips,UK,McKesson,SPA,1044179,card,301000
5489,ConocoPhillips,ITA,Carrefour,GER,6184831,card,302000
1719,Chevron,FR,General Motos,JAP,3215135,card,303000
4615,General Motos,SPA,Valeo,JAP,7356661,transfer,304000
7511,Valeo,SWI,McKesson,UK,4954362,cheque,305000
6771,Monoprix,SWI,Chevron,SPA,9305802,card,306000
3962,CapGemini,ITA,Exxon Mobil,FR,2141918,card,307000
5616,Valeo,US,Renault,FR,6469941,card,308000
9382,Renault,FR,McKesson,JAP,8186545,card,309000
3477,General Motos,SP,Renault,GER,4677041,transfer,310000
6526,Activision Blizard,UK,Nissan,FR,5997091,card,311000
7182,General Motos,CHI,CapGemini,CHI,7265113,card,312000
2252,ConocoPhillips,GER,Valeo,SPA,3961836,cheque,313000
8783,Renault,JAP,CapGemini,SWI,3706032,card,314000
3133,Valeo,FR,CapGemini,SP,2709815,transfer,315000
6896,General Motos,UK,Monoprix,CHI,8110555,card,316000
6789,Exxon Mobil,UK,McKesson,ITA,7017691,transfer,317000
878,General Motos,ITA,Carrefour,SWI,7465453,cheque,318000
5035,Exxon Mobil,UK,Tesla,ITA,2790538,cheque,319000
3820,Activision Blizard,JAP,Chevron,US,6425250,cheque,320000
9061,Exxon Mobil,UK,Activision Blizard,FR,6322631,transfer,321000
8980,ConocoPhillips,SP,General Motos,FR,5253105,cheque,322000
9803,Renault,JAP,ConocoPhillips,SPA,2708338,transfer,323000
5584,Exxon Mobil,UK,Renault,UK,8872572,cheque,324000
9115,Nissan,ITA,McKesson,UK,4018894,transfer,325000
5796,Carrefour,ITA,Valeo,SWI,3562217,cheque,326000
1772,Activision Blizard,JAP,Tesla,JAP,9883781,transfer,327000
1451,Activision Blizard,FR,McKesson,SWI,6094690,transfer,328000
1380,Tesla,SPA,Carrefour,SP,2445955,transfer,329000
4299,Renault,UK,General Motos,GER,9497040,cheque,330000
7479,Carrefour,CHI,ConocoPhillips,GER,7022932,cheque,331000
9432,Monoprix,SWI,Valeo,GER,5274934,card,332000
2138,Monoprix,JAP,Renault,JAP,3433917,transfer,333000
3901,Valeo,ITA,ConocoPhillips,ITA,1116105,card,334000
3437,ConocoPhillips,JAP,Activision Blizard,SWI,7177653,cheque,335000
8062,Carrefour,FR,Monoprix,GER,948635,cheque,336000
148,Activision Blizard,GER,CapGemini,US,3035812,transfer,337000
5757,Carrefour,JAP,Valeo,CHI,3394878,cheque,338000
5092,Monoprix,FR,CapGemini,JAP,5484093,card,339000
9340,Monoprix,JAP,Monoprix,SWI,1732085,card,340000
113,ConocoPhillips,CHI,CapGemini,GER,9221313,card,341000
9604,Monoprix,UK,Carrefour,JAP,3484865,card,342000
1496,Activision Blizard,JAP,Activision Blizard,ITA,5502676,card,343000
5232,CapGemini,SPA,Valeo,SP,9381531,card,344000
3179,CapGemini,GER,ConocoPhillips,GER,5907401,transfer,345000
6336,Tesla,GER,ConocoPhillips,US,1731042,card,346000
8127,Exxon Mobil,GER,Carrefour,ITA,1030280,cheque,347000
8834,Exxon Mobil,ITA,Carrefour,JAP,3494895,card,348000
6017,Monoprix,ITA,McKesson,SWI,8260611,cheque,349000
6603,Chevron,CHI,Nissan,CHI,9929522,transfer,350000
1968,Chevron,UK,Exxon Mobil,JAP,8296875,cheque,351000
2278,Chevron,JAP,CapGemini,CHI,3573812,cheque,352000
7987,McKesson,US,Chevron,JAP,3536617,transfer,353000
2602,Activision Blizard,UK,Renault,SPA,4662491,card,354000
3248,General Motos,SP,Carrefour,US,4230382,card,355000
8866,ConocoPhillips,SPA,Carrefour,JAP,1720454,card,356000
5749,CapGemini,US,Monoprix,FR,6166453,card,357000
7279,Chevron,UK,Activision Blizard,ITA,8447670,cheque,358000
9028,CapGemini,CHI,Nissan,FR,844658,cheque,359000
2935,Tesla,GER,Nissan,SWI,3436105,transfer,360000
6874,Renault,ITA,Chevron,JAP,1225541,card,361000
2029,Renault,JAP,CapGemini,SP,6429410,cheque,362000
3973,Tesla,SP,Valeo,SPA,4175151,cheque,363000
2501,Exxon Mobil,SPA,Chevron,UK,9065634,card,364000
5641,Valeo,FR,Exxon Mobil,US,6020051,cheque,365000
8575,Exxon Mobil,ITA,Activision Blizard,JAP,5744426,transfer,366000
18,Carrefour,GER,Carrefour,US,8945715,transfer,367000
9101,McKesson,ITA,ConocoPhillips,SPA,3869828,card,368000
8346,CapGemini,ITA,Monoprix,SWI,8843004,transfer,369000
6332,ConocoPhillips,ITA,Exxon Mobil,GER,5301599,card,370000
8030,Activision Blizard,JAP,Chevron,FR,9489441,transfer,371000
2737,Monoprix,JAP,Valeo,SWI,2082831,card,372000
4820,Renault,SP,ConocoPhillips,US,8714263,card,373000
9751,ConocoPhillips,JAP,CapGemini,SP,6319764,transfer,374000
2057,Renault,UK,ConocoPhillips,JAP,2936013,card,375000
8090,General Motos,UK,Tesla,US,7901773,cheque,376000
2748,Tesla,ITA,Exxon Mobil,SWI,8678867,cheque,377000
5393,Chevron,SPA,Valeo,SP,9023296,card,378000
8909,CapGemini,SPA,ConocoPhillips,UK,526167,cheque,379000
3649,Monoprix,SPA,Valeo,JAP,3839048,cheque,380000
4097,Monoprix,SP,ConocoPhillips,ITA,5737561,transfer,381000
6091,Monoprix,GER,Nissan,UK,9100245,cheque,382000
7959,CapGemini,JAP,Carrefour,GER,1879243,transfer,383000
538,Chevron,SPA,CapGemini,ITA,1462917,cheque,384000
6061,Activision Blizard,SWI,McKesson,US,1187861,transfer,385000
7753,General Motos,FR,Chevron,SPA,2385598,card,386000
6160,Exxon Mobil,US,Exxon Mobil,SPA,325533,transfer,387000
728,Nissan,ITA,McKesson,CHI,8650228,transfer,388000
3317,ConocoPhillips,SPA,Valeo,US,9442497,cheque,389000
600,Renault,SP,CapGemini,US,9679343,card,390000
9918,ConocoPhillips,ITA,General Motos,SP,6817959,transfer,391000
624,Chevron,UK,McKesson,UK,7508598,card,392000
6826,Monoprix,ITA,Valeo,SP,6931826,cheque,393000
8237,Carrefour,SWI,Carrefour,UK,7549608,transfer,394000
2615,Nissan,SPA,Valeo,ITA,7453885,card,395000
9748,Activision Blizard,ITA,Activision Blizard,SWI,552522,cheque,396000
2266,General Motos,SWI,Nissan,US,4774881,cheque,397000
719,Nissan,CHI,Monoprix,SWI,4202661,card,398000
3693,Exxon Mobil,GER,Valeo,ITA,4339126,transfer,399000
1501,Chevron,ITA,General Motos,FR,2079543,card,400000
5139,CapGemini,JAP,CapGemini,ITA,2220884,cheque,401000
9443,Tesla,GER,Tesla,US,1084796,cheque,402000
352,ConocoPhillips,JAP,Exxon Mobil,CHI,3417942,card,403000
1543,Monoprix,US,CapGemini,FR,6207842,cheque,404000
7605,McKesson,SWI,Nissan,SP,4645357,card,405000
3521,Renault,UK,Activision Blizard,US,8131248,transfer,406000
1153,Valeo,FR,General Motos,ITA,795351,cheque,407000
4088,McKesson,JAP,General Motos,CHI,2953950,cheque,408000
6167,Exxon Mobil,FR,ConocoPhillips,CHI,5369890,cheque,409000
5295,McKesson,US,ConocoPhillips,SPA,5638945,transfer,410000
4977,Exxon Mobil,FR,Carrefour,GER,290886,card,411000
2364,Renault,UK,Monoprix,GER,310344,transfer,412000
1957,Renault,JAP,McKesson,JAP,5888586,card,413000
5010,ConocoPhillips,SP,Carrefour,JAP,5563986,transfer,414000
4796,ConocoPhillips,SWI,Chevron,SPA,503506,cheque,415000
7112,Carrefour,GER,Renault,UK,265699,card,416000
1375,Tesla,US,McKesson,FR,3566472,card,417000
2914,Chevron,SWI,Tesla,UK,3328049,cheque,418000
9373,Nissan,ITA,Tesla,SWI,6694304,cheque,419000
2379,Carrefour,ITA,Valeo,FR,3630025,card,420000
4652,CapGemini,US,Nissan,US,7389390,card,421000
4833,Chevron,CHI,Nissan,SWI,8399549,cheque,422000
6103,Activision Blizard,FR,ConocoPhillips,GER,1619566,cheque,423000
5104,McKesson,JAP,Valeo,US,1337180,transfer,424000
5176,CapGemini,SP,McKesson,UK,7233507,transfer,425000
707,CapGemini,FR,General Motos,SPA,9555046,card,426000
9306,McKesson,GER,Renault,SWI,9029841,cheque,427000
9989,Tesla,CHI,ConocoPhillips,JAP,4083629,card,428000
8652,McKesson,JAP,Carrefour,ITA,6787446,card,429000
1074,ConocoPhillips,CHI,McKesson,SWI,8455504,card,430000
6182,Carrefour,SWI,Monoprix,SWI,4547636,transfer,431000
8634,Activision Blizard,GER,Valeo,UK,5338570,cheque,432000
